carve (Halloween)									carve	/ˈkʰɑrv/	/ˈkʰɑːv/	v	To cut and shape a solid material, often wood or vegetables.	We used a small knife to carefully carve faces into the pumpkins.
illuminate (Halloween)									illuminate	/ɪˈluməˌneɪt/	/ɪˈluːmɪneɪt/	v	To light up or brighten something.	The candles inside the jack-o'-lanterns illuminated the dark porch.
whisper (Halloween)									whisper	/ˈwɪspə˞/	/ˈwɪspə/	v	To speak in a quiet, hushed voice.	We whispered to each other while hiding behind the bushes.
creep (Halloween)									creep	/ˈkɹip/	/ˈkriːp/	v	To move slowly and quietly, often to avoid being noticed.	We crept through the dark alley, trying not to make a sound.
howl (Halloween)									howl	/ˈhaʊəl/	/ˈhaʊl/	v	To make a long, loud, wailing sound, like a wolf.	We heard the wind howl outside, making the night feel even scarier.
shiver (Halloween)									shiver	/ˈʃɪvə˞/	/ˈʃɪvə/	v	To shake slightly due to cold or fear.	A cold breeze made me shiver as I held onto my bag of candy.
trick-or-treat (Halloween)									trick-or-treat	/ˈtɹɪkˈɔrˈtɹit/	/ˈɔː/	exp	A Halloween custom where children ask for candy from neighbors.	We ran from house to house shouting "trick-or-treat!" with excitement.
jump out of one's skin (Halloween)									jump out of one's skin	/ˈdʒəmp ˈaʊt əv ˈwənz ˈskɪn/	/ˈdʒʌmp ˈaʊt əv ˈwʌnz ˈskɪn/	exp	To be extremely startled or scared.	I nearly jumped out of my skin when my brother jumped out in a monster mask.
Jack-o'-lantern (Halloween)									Jack-o'-lantern	/ˈdʒækəˌlæntə˞n/	/ˌdʒækəˈlæntən/	n	A hollowed-out pumpkin with a carved face, lit from inside by a candle.	We placed a Jack-o'-lantern on the porch to welcome trick-or-treaters.
Sleepy Hollow (Halloween)									Sleepy Hollow	/ˈslipi ˈhɑloʊ/	/ˈsliːpi ˈhɒləʊ/	n	A fictional town from Washington Irving’s story, famous for the Headless Horseman legend.	The legend of Sleepy Hollow has fascinated readers for generations.
vampire (monster)									vampire	/ˈvæmˌpaɪə˞/	/ˈvæmpaɪə/	n	A mythical creature that drinks human blood and avoids sunlight.	He dressed as a vampire, complete with fake fangs and a black cape.
werewolf (monster)									werewolf	/ˈwɛrˌwʊlf/	/ˈwɪəwʊlf/	n	A legendary creature that transforms from a human into a wolf, usually during a full moon.	According to folklore, a werewolf can only be killed with a silver bullet.
ghost (monster)									ghost	/ˈɡoʊst/	/ˈɡəʊst/	n	A spirit of a dead person, often depicted as a floating, translucent figure.	Some people believe that old houses are haunted by ghosts.
zombie (monster)									zombie	/ˈzɑmbi/	/ˈzɒmbi/	n	A reanimated corpse, often portrayed as mindless and craving human flesh.	The zombie costume contest at the party was both creepy and fun.
witch (monster)									witch	/ˈwɪtʃ/	/ˈwɪtʃ/	n	A person, usually a woman, with magical powers, often associated with black cats and broomsticks.	She wore a classic witch costume with a pointy hat and a long cloak.
mummy (monster)									mummy	/ˈməmi/	/ˈmʌmi/	n	An undead creature wrapped in bandages, inspired by ancient Egyptian mummies.	The horror movie featured an ancient mummy rising from its tomb.
Frankenstein (monster)									Frankenstein (Frankenstein’s monster)	/ˈfɹæŋkənˌstaɪn | ˈfɹæŋkənˌstaɪnz ˈmɑnstə˞ |/	/ˈfræŋkənstaɪn | ˈfræŋkənstaɪnz ˈmɒnstə |/	n	A fictional creature brought to life by a scientist, often portrayed as large and stitched together.	Frankenstein’s monster is often mistaken for Frankenstein himself.
goblin (monster)									goblin	/ˈɡɑblən/	/ˈɡɒblɪn/	n	A small, mischievous, and sometimes evil creature from folklore.	A goblin stole the children’s candy in the spooky bedtime story.
altar (Day of the Death)									altar	/ˈɔltə˞/	/ˈɔːltə/	n	A decorated structure with offerings to honor deceased loved ones.	Families set up an altar with candles, flowers, and food for their ancestors.
